,isocode,country,rugged,cont_africa,continent,log_gdp
139,MOZ,Mozambique,0.612,1,0,6.776356467931063
140,MRT,Mauritania,0.115,1,0,7.455418779199615
143,MUS,Mauritius,0.949,1,0,9.171860632234287
144,MWI,Malawi,1.027,1,0,6.373749731268529
145,MYS,Malaysia,1.009,0,1,9.096774282491037
147,NAM,Namibia,0.913,1,0,8.709111221083472
148,NCL,New Caledonia,1.586,0,3,10.005141206262628
149,NER,Niger,0.178,1,0,6.555557440689436
151,NGA,Nigeria,0.312,1,0,6.782860766610372
152,NIC,Nicaragua,0.992,0,4,8.094878930209937
154,NLD,Netherlands,0.037,0,2,10.261515780373005
155,NOR,Norway,2.409,0,2,10.440209551883893
156,NPL,Nepal,5.043,0,1,7.187561165554104
158,NZL,New Zealand,2.038,0,3,9.884046799755467
159,OMN,Oman,1.109,0,1,9.451693910459287
160,PAK,Pakistan,1.949,0,1,7.562884342979561
161,PAN,Panama,1.54,0,4,8.726537651692583
163,PER,Peru,1.347,0,5,8.460098893167899
164,PHL,Philippines,2.028,0,1,8.300913033043425
166,PNG,Papua New Guinea,1.589,0,3,7.75179268700943
167,POL,Poland,0.297,0,2,9.249691845810682
168,PRI,Puerto Rico,1.447,0,4,10.009748013122012
170,PRT,Portugal,1.304,0,2,9.812209632235597
171,PRY,Paraguay,0.245,0,5,8.423556790062909
173,PYF,French Polynesia,2.072,0,3,10.107990848737787
176,ROU,Romania,1.267,0,2,8.680896499260998
177,RUS,Russian Federation,0.94,0,2,8.867242695520506
178,RWA,Rwanda,3.309,1,0,6.946179521190474
179,SAU,Saudi Arabia,0.914,0,1,9.423361665658662
181,SDN,Sudan,0.442,1,0,7.428139473705091
182,SEN,Senegal,0.244,1,0,7.268977269418274
183,SGP,Singapore,0.016,0,1,10.06949381919893
186,SLB,Solomon Islands,1.54,0,3,7.529658842741439
187,SLE,Sierra Leone,0.498,1,0,6.145573083190063
188,SLV,El Salvador,1.75,0,4,8.432566024483094
194,SVK,Slovakia,1.56,0,2,9.33288980805469
195,SVN,Slovenia,2.496,0,2,9.73348954788061
196,SWE,Sweden,0.715,0,2,10.161993614472262
197,SWZ,Swaziland,3.063,1,0,8.451362101938683
198,SYC,Seychelles,4.885,1,0,9.795761463336396
199,SYR,Syrian Arab Republic,0.756,0,1,8.084005848543555
201,TCD,Chad,0.419,1,0,6.71070579678357
202,TGO,Togo,0.28,1,0,7.2702119763253155
203,THA,Thailand,1.051,0,1,8.745047230940392
204,TJK,Tajikistan,5.301,0,1,6.66628099160818
206,TKM,Turkmenistan,0.284,0,1,8.207280506496373
208,TON,Tonga,0.773,0,3,8.790074876482318
209,TTO,Trinidad and Tobago,0.603,0,4,9.10161486775605
210,TUN,Tunisia,0.726,1,0,8.740584871943847
211,TUR,Turkey,2.62,0,1,8.781149111604377
214,TZA,United Republic of Tanzania,0.677,1,0,6.25733611532716
215,UGA,Uganda,0.913,1,0,7.125696521724513
216,UKR,Ukraine,0.416,0,2,8.320859521890362
218,URY,Uruguay,0.435,0,5,9.080404564623397
219,USA,United States of America,1.073,0,4,10.433238065557768
220,UZB,Uzbekistan,0.526,0,1,7.3236379355130135
222,VCT,Saint Vincent and the Grenadines,3.071,0,4,8.581952125761033
223,VEN,Venezuela (Bolivarian Republic of),0.634,0,5,8.64560751414128
226,VNM,Viet Nam,2.054,0,1,7.606756789462589
227,VUT,Vanuatu,1.729,0,3,8.062161717972442
229,WSM,Samoa,1.677,0,3,8.488849065157035
230,YEM,Yemen,2.323,0,1,6.669179511198305
231,ZAF,South Africa,1.761,1,0,9.150497157281666
232,ZMB,Zambia,0.533,1,0,6.651584793402907
233,ZWE,Zimbabwe,1.194,1,0,7.82373196154797
